SIRET;SIREN;NOMEN;NOMET;ETAT;CJ;SIEGE;PUB_PRIV;NATURE;DC;Libelle commune;DEP;REG;APET;A88;A17;EMPLOYEUR;Tranche d'effectif;latitude;longitude;result_label;result_score;result_score_next;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district;result_status
19501234900039;195012349;LEGTPA DE ST HILAIRE DU HARCOUET;CTRE FORMATION PROFESS AGRICOLE JEUNES;1;7331;0;PUBLIC;1;50484;Saint-Hilaire-du-HarcouÇ®t;50;28;8559A;85;OQ;1;de 1 à 10 salariés;49.167354;4.465747;Rd 19 51600 Saint-Hilaire-le-Grand;0.29789727272727273;0.2913893473193473;street;51486_mm2es9;;Rd 19;Rd 19;51600;Saint-Hilaire-le-Grand;51, Marne, Grand Est;51486;;;;ok
19501234900047;195012349;LEGTPA DE ST HILAIRE DU HARCOUET;EXPLOITATION AGRICOLE;1;7331;0;PUBLIC;1;50484;Saint-Hilaire-du-HarcouÇ®t;50;28;0141Z;1;AZ;1;de 1 à 10 salariés;49.167354;4.465747;Rd 19 51600 Saint-Hilaire-le-Grand;0.29789727272727273;0.2913893473193473;street;51486_mm2es9;;Rd 19;Rd 19;51600;Saint-Hilaire-le-Grand;51, Marne, Grand Est;51486;;;;ok
19501234900054;195012349;LEGTPA DE ST HILAIRE DU HARCOUET;CENTRE EQUESTRE;1;7331;0;PUBLIC;1;50484;Saint-Hilaire-du-HarcouÇ®t;50;28;8551Z;85;OQ;1;de 1 à 10 salariés;49.167354;4.465747;Rd 19 51600 Saint-Hilaire-le-Grand;0.29789727272727273;0.2913893473193473;street;51486_mm2es9;;Rd 19;Rd 19;51600;Saint-Hilaire-le-Grand;51, Marne, Grand Est;51486;;;;ok
19501234900062;195012349;LEGTPA DE ST HILAIRE DU HARCOUET;CENTRE DE FORMATION D'APPRENTIS-CFA;1;7331;0;PUBLIC;1;50484;Saint-Hilaire-du-HarcouÇ®t;50;28;8532Z;85;OQ;1;de 11 à 49 salariés;49.167354;4.465747;Rd 19 51600 Saint-Hilaire-le-Grand;0.29789727272727273;0.2913893473193473;street;51486_mm2es9;;Rd 19;Rd 19;51600;Saint-Hilaire-le-Grand;51, Marne, Grand Est;51486;;;;ok
19501239800010;195012398;COLLEGE LA VANLEE;;1;7331;1;PUBLIC;1;50076;Br‚hal;50;28;8531Z;85;OQ;1;de 11 à 49 salariés;49.65539;-1.785156;Rue de l'Eglise Saint Vigor Br 50440 La Hague;0.1866212852664577;;street;50041_0241;;Rue de l'Eglise Saint Vigor Br;Rue de l'Eglise Saint Vigor Br;50440;La Hague;50, Manche, Normandie;50041;50073;Branville-Hague;;ok
19501240600011;195012406;COLLEGE GABRIEL DE MONTGOMERY;;1;7331;1;PUBLIC;1;50168;Ducey-Les Ch‚ris;50;28;8531Z;85;OQ;1;de 11 à 49 salariés;48.619276;-1.293684;Grande Rue 50220 Ducey-Les Chéris;0.399749748549323;0.3821236541889483;street;50168_0080;;Grande Rue;Grande Rue;50220;Ducey-Les Chéris;50, Manche, Normandie;50168;50168;Ducey;;ok
19501241400015;195012414;COLLEGE GEORGES BRASSENS;;1;7331;1;PUBLIC;1;50410;Pontorson;50;28;8531Z;85;OQ;1;de 11 à 49 salariés;48.544056;-1.426249;Ballan 50170 Pontorson;0.43006311294765837;0.4227031168831168;street;50410_klvc3e;;Ballan;Ballan;50170;Pontorson;50, Manche, Normandie;50410;50630;Vessey;;ok
19501242200018;195012422;COLLEGE LE CLOS TARDIF;;1;7331;1;PUBLIC;1;50487;Saint-James;50;28;8531Z;85;OQ;1;de 11 à 49 salariés;48.517374;-1.367894;Saint-James;0.45787060606060603;0.4252942424242424;municipality;50487;;Saint-James;;50240;Saint-James;50, Manche, Normandie;50487;;;;ok
19501300800014;195013008;COLLEGE GUILLAUME FOUACE;;1;7331;1;PUBLIC;1;50562;Saint-Vaast-la-Hougue;50;28;8531Z;85;OQ;1;de 11 à 49 salariés;49.596416;-1.270922;Saint-Vaast-la-Hougue;0.5742799999999999;0.532348418972332;municipality;50562;;Saint-Vaast-la-Hougue;;50550;Saint-Vaast-la-Hougue;50, Manche, Normandie;50562;;;;ok
19501301600017;195013016;COLLEGE DU MARAIS;;1;7331;1;PUBLIC;1;50488;Saint-Jean-de-Daye;50;28;8531Z;85;OQ;1;de 11 à 49 salariés;49.227367;-1.136989;Saint-Jean-de-Daye;0.5028379904306219;0.4719644444444444;municipality;50488;;Saint-Jean-de-Daye;;50620;Saint-Jean-de-Daye;50, Manche, Normandie;50488;;;;ok
